stop_id;stop_name;latitude;longitude;wheelchair_boarding
1;Baselga Del Bondone;46.078354;11.047183;2
2;Baselga Del Bondone;46.078528;11.047586;1
3;Belvedere;46.044409;11.105369;0
4;Lamar Ponte Avisio;46.134568;11.111001;1
5;Sp 85 Bivio Sopramonte;46.085069;11.069564;2
7;Maso Bolleri;46.102457;11.124144;2
8;Maso Bolleri;46.102269;11.123991;2
9;Borino;46.067127;11.165537;1
10;Cadine Strada Gardesana;46.088578;11.065061;1
11;Cadine Strada Gardesana;46.088767;11.064526;1
12;Canova Paludi;46.099273;11.109269;1
13;"Gardolo ""Materna Paludi""";46.103917;11.108166;2
15;Asiago S.Bartolameo;46.047706;11.137591;1
17;"Cognola ""Toresela""";46.07889;11.153522;2
18;"Cognola ""Toresela""";46.078916;11.154062;2
19;Cognola Bivio Civezzano;46.080507;11.158307;2
20;Cognola Bivio Civezzano;46.080506;11.158409;2
21;"Cognola ""Centro Civico""";46.07644;11.141608;1
22;Cognola Grezoni;46.075937;11.146884;2
23;Cognola Grezoni;46.075967;11.14658;2
24;San Vito;46.075378;11.139504;1
25;Cognola S.Vito;46.075681;11.14077;2
26;Cognola S.Vito;46.075653;11.141776;2
27;San Vito;46.075399;11.13889;1
28;"Cognola ""Scuole""";46.075713;11.144004;2
29;"Cognola ""Scuole""";46.075819;11.144105;2
30;"Cognola Alla Veduta ""Roza""";46.077643;11.151166;1
31;"Cognola Alla Veduta ""Roza""";46.078022;11.151578;2
32;"Brescia ""Villa Salvotti""";46.076115;11.101057;2
37;Degli Alpini Oberziner;46.079109;11.118075;2
38;Cortesano;46.124661;11.133726;0
39;Vigo Meano Alle Gorghe;46.129695;11.134602;1
40;Vigo Meano Alle Gorghe;46.129572;11.134665;2
43;Forte Bus De Vela;46.085345;11.069798;0
46;"Gabbiolo ""Campo Sportivo""";46.055301;11.14899;1
47;"Gabbiolo ""Campo Sportivo""";46.055279;11.148843;1
48;Sp 76 Carpenedi;46.117667;11.110047;2
49;Sp 76 Carpenedi;46.117278;11.108621;2
50;Gardolo S.Anna;46.111157;11.109534;1
51;Gardolo S.Anna;46.111087;11.109494;1
52;Gardolo P.Le Neufahrn Sud;46.106607;11.111622;1
53;Gardolo P.Le Neufahrn Nord;46.106673;11.11158;1
54;Gardolo Piazza;46.108364;11.111681;1
55;Gardolo Piazza;46.108465;11.111514;2
56;Canova Aichner;46.101923;11.103255;2
57;Canova Via Della Canova;46.100323;11.106659;1
58;Gardolo Don Milani 8 Marzo;46.103947;11.117561;2
59;"Gardolo D.Milani ""Piscina""";46.10671;11.114353;2
60;"Gardolo D.Milani ""Piscina""";46.106764;11.114361;2
61;Gardolo Don Milani 8 Marzo;46.104154;11.117338;2
62;Gardolo S.Anna Carpenedi;46.113334;11.107735;1
63;Gardolo S.Anna Carpenedi;46.113375;11.107612;1
64;Gardolo Svincolo Ss.12;46.106196;11.109014;1
65;Gazzadina Strada Vecchia;46.13011;11.126402;2
66;Gazzadina Al Pontat;46.128896;11.128728;2
67;Gazzadina Al Pontat;46.128751;11.129085;2
68;Gazzadina Strada Vecchia;46.130171;11.126098;2
69;Grotta Piazza;46.045775;11.151173;2
70;Grotta Bindesi;46.043306;11.151756;2
71;Grotta Bindesi;46.043679;11.151494;2
72;"Ss 12 ""Zona Ind.Le Ftm""";46.119198;11.106145;2
73;"Lamar ""Ftm""";46.125847;11.107861;2
74;"Lamar ""Ftm""";46.125967;11.107596;2
75;"Lamar ""Sottostazione Enel""";46.129144;11.109752;2
76;Largo Sauro;46.074753;11.125004;0
77;Lavis Nazionale;46.13858;11.109069;2
78;Lavis Piazza Caduti;46.138061;11.115898;2
79;"Lavis ""Municipio""";46.139289;11.112161;2
80;Lavis Rosmini Segantini;46.142225;11.108496;1
